HID,TAZ,TRIPS
,1183,25422
,1184,18357
,1185,25410
,1186,10836
,1187,42548
,1188,16825
,1189,2069
,1190,22798
,1191,28
,1192,3568
,1193,11443
,1194,7787
,1195,13365
,1196,2019
,1197,40228
,1198,7633
,1199,26006
,1200,22649
,1201,20689
,1202,80
,1203,111
,1204,38918
,1205,32444
,1206,13525
,1207,58382
,1208,2847
,1209,1470
,1210,21740
,1211,14532
,1212,13662
,1213,7535
,1214,7042
,1215,88486
,1216,229
,1217,10698
,1218,13933
,1219,7704
,1220,2725
,1221,7580
,1222,54
,1223,89
,1224,2347
,1225,809
,1226,15153
,1227,4075
,1228,2254
,1229,5437
,1230,23646
,1231,2148
,1232,1030
,1233,4877
,1234,765
,1235,83069
,1236,2668
,1237,113
,1238,5146
,1239,37220
,1240,14072
,1241,18999
,1242,38612
,1243,6138
,1244,36539
,1245,117598
,1246,33918
,1247,4646
,1248,6056
,1249,4039
,1250,9786
,1251,132
,1252,26428
,1253,61287
,1254,735
,1255,186
,1256,8562
,1257,4566
,1258,1808
,1259,198
,1260,1698
,1261,164
,1262,270
,1263,236
,1264,225
,1265,710
,1266,6412
,1267,2820
,1268,15
,1269,367
,1270,151
,1271,288
,1272,587
,1273,2513
,1274,9255
,1275,15223
,1276,683
,1277,612
,1278,8060
,1279,264
,1280,1877
,1281,131
,1282,139
,1283,464
,1284,78
,1285,829
,1286,3088
,1287,1215
,1288,208
,1289,415
,1290,30
,1291,761
,1292,1649
,1293,754
,1294,3835
,1295,4099
,1296,451
,1297,4707
,1298,26804
,1299,18530
,1300,62887
,1301,12178
,1302,8279
,1303,96180
,1304,63764
,1305,13266
,1306,4226
,1307,4946
,1308,5163
,1309,1512
,1310,23616
,1311,9865
,1312,264
,1313,52825
,1314,23016
,1315,40867
,1316,24205
,1317,179189
,1318,6424
,1319,15816
,1320,83498
,1321,120626
,1322,60051
,1323,102496
,1324,70699
,1325,121676
,1326,6256
,1327,2583
,1328,29073
,1329,21235
,1330,4601
,1331,9551
,1332,7258
,1333,5278
,1334,26184
,1335,46136
,1336,9241
,1337,21329
,1338,2671
,1339,2023
,1340,48611
,1341,9856
,1342,22000
,1343,1156
,1344,10788
,1345,45547
,1346,27342
,1347,17545
,1348,13561
,1349,10821
,1350,74543
,1351,2821
,1352,36050
,1353,17565
,1354,45098
,1355,51457
,1356,4117
,1357,23450
,1358,19162
,1359,212
,1360,19020
,1361,34591
,1362,14649
,1363,9858
,1364,7790
,1365,13893
,1366,1265
,1367,3298
,1368,81598
,1369,1166
,1370,10092
,1371,23829
,1372,20499
,1373,33087
,1374,17685
,1375,7146
,1376,63035
,1377,6347
,1378,9390
,1379,49275
,1380,90684
,1381,13473
,1382,9368
,1383,47326
,1384,13939
,1385,31100
,1386,6813
,1387,14407
,1388,128597
,1390,7263
,1391,17685
,1392,15554
,1393,4443
,1394,13225
,1395,5578
,1396,13533
,1397,13774
,1398,83449
,1399,10898
,1400,6088
,1401,3851
,1402,3432
,1403,3896
,1404,29729
,1405,5170
,1406,35784
,1407,14593
,1408,28163
,1409,13933
,1410,8840
,1411,37277
,1412,30051
,1413,7552
,1414,24715
,1415,17676
,1416,3922
,1417,5698
,1418,78066
,1419,8332
,1420,9933
,1421,6158
,1422,3043
,1423,7273
,1424,41606
,1425,18856
,1426,13972
,1427,105416
,1428,161
,1429,7453
,1430,14352
,1431,48126
,1432,12551
,1433,8806
,1434,13049
,1435,2677
,1436,28743
,1437,71012
,1438,11946
,1439,5552
,1440,1075
,1441,13497
,1442,48072
,1443,7383
,1444,32248
,1445,38387
,1446,43107
,1447,6908
,1448,4000
,1449,9661
,1450,39249
,1451,21225
,1452,31793
,1453,32401
,1454,19936
,1455,16148
,1456,57969
,1457,33262
,1458,38387
,1459,9635
,1460,20113
,1461,45860
,1462,42767
,1463,706
,1464,12308
,1465,9285
,1466,6299
,1467,14734
,1468,12605
,1469,12631
,1470,16682
,1471,50782
,1472,10017
,1473,40519
,1474,41620
,1475,37560
,1476,55962
,1477,9458
,1478,37371
,1479,41639
,1480,5976
,1481,12600
,1482,1134
,1483,4738
,1484,27610
,1485,14645
,1486,3507
,1487,21726
,1488,3524
,1489,7215
,1490,4284
,1491,11504
,1492,1305
,1493,1965
,1494,7269
,1495,24702
,1496,6450
,1497,11390
,1498,47236
,1499,9245
,1500,10836
,1501,47157
,1502,8227
,1503,31424
,1504,32093
,1505,26169
,1506,17213
,1507,19664
,1508,2339
,1509,13051
,1510,5062
,1511,23328
,1512,11840
,1513,21683
,1514,16194
,1515,1348
,1516,1297
,1517,14379
,1518,17096
,1519,32729
,1520,7638
,1521,515
,1522,2947
,1523,9638
,1524,104929
,1525,96077
,1526,2860
,1527,1728
,1528,1576
,1529,18920
,1530,9481
,1531,7707
,1532,11741
,1533,4879
,1534,41982
,1535,10240
,1536,52636
,1537,43582
,1538,7134
,1539,2755
,1540,100036
,1541,11641
,1542,17818
,1543,4747
,1544,11713
,1545,4732
,1546,5513
,1547,4186
,1548,28919
,1549,26761
,1550,22703
,1551,18754
,1552,18143
,1553,48390
,1554,24305
,1555,15832
,1556,15911
,1557,19308
,1558,13522
,1559,20113
,1560,83714
,1561,55737
,1562,9462
,1563,30110
,1564,45518
,1565,33909
,1566,12792
,1567,1391
,1568,25573
,1569,19425
,1570,4119
,1571,1990
,1572,2548
,1573,4968
,1574,18598
,1575,24613
,1576,122793
,1577,3622
,1578,4193
,1579,33390
,1580,136796
,1581,36477
,1582,133609
,1583,571830
,1584,3838
,1585,2609
,1586,4177
,1587,15687
,1588,2768
,1589,1494
,1590,6534
,1591,4009
,1592,1624
,1593,4711
,1594,912
,1595,5818
,1596,20935
,1597,229
,1598,752
,1599,939
,1600,4619
,1601,273
,1602,5282
,1603,11675
,1604,38776
,1605,32513
,1606,30825
,1607,18561
,1608,20324
,1609,676
,1610,16614
,1611,1930
,1612,982
,1613,20770
,1614,4073
,1615,2086
,1616,409
,1617,1577
,1618,14916
,1619,14885
,1620,14107
,1621,17584
,1622,11750
,1623,16007
,1624,19867
,1625,21287
,1626,1643
,1627,2555
,1628,29169
,1629,37319
,1630,20984
,1631,18289
,1632,510
,1633,498
,1634,241
,1635,2815
,1636,1482
,1637,1406
,1638,5170
,1639,959
,1640,2176
,1641,2481
,1642,313
,1643,1611
,1644,3938
,1645,22312
,1646,4021
,1647,759
,1648,5953
,1649,699
,1650,17811
,1651,5885
,1652,11405
,1653,1434
,1654,1087
,1655,8492
,1656,16240
,1657,5676
,1658,6736
,1659,913
,1660,2027
,1661,2327
,1662,22095
,1663,6991
,1664,19593
,1665,2234
,1666,1732
,1667,4546
,1668,2461
,1669,13977
,1670,216
,1671,7642
,1672,19083
,1673,32801
,1674,10522
,1675,3020
,1676,758
,1677,8295
,1678,9840
,1679,6505
,1680,8706
,1681,6563
,1682,8977
,1683,648
,1684,5385
,1685,342
,1686,863
,1687,7175
,1688,3083
,1689,11594
,1690,4727
,1691,26798
,1692,3470
,1693,6893
,1694,1005
,1695,18784
,1696,9045
,1697,4250
,1698,23488
,1699,1917
,1700,6181
,1701,10481
,1702,4223
,1703,650
,1704,19302
,1705,4588
,1706,587
,1707,12794
,1708,10331
,1709,1120
,1710,1709
,1711,19168
,1712,8190
,1713,17044
,1714,22461
,1715,497
,1716,17530
,1717,1984
,1718,4819
,1719,556
,1720,11456
,1721,364
,1722,9228
,1723,9332
