HEX_ID,TAZ,TRIPS
,1638,4495
,1639,885
,1640,2885
,1641,2230
,1642,359
,1643,1086
,1644,2053
,1645,19328
,1646,3578
,1647,591
,1648,5581
,1649,496
,1650,18449
,1651,4747
,1652,11716
,1653,1634
,1654,1057
,1655,8522
,1656,11667
,1657,5006
,1658,5843
,1659,635
,1660,2011
,1661,2709
,1662,18683
,1663,6198
,1664,17643
,1665,1621
,1666,1426
,1667,3921
,1668,2356
,1669,13018
,1670,270
,1671,6899
,1672,15646
,1673,31813
,1674,9529
,1675,3064
,1676,630
,1677,7111
,1678,10178
,1679,4688
,1680,8057
,1681,7238
,1682,7493
,1683,677
,1684,5911
,1685,282
,1686,603
,1687,7737
,1688,2709
,1689,10371
,1690,4549
,1691,20167
,1692,2671
,1693,6033
,1694,832
,1695,19260
,1696,7450
,1697,2060
,1698,23312
,1699,2100
,1700,5199
,1701,10476
,1702,4153
,1703,64
,1704,18150
,1705,4392
,1706,674
,1707,8208
,1708,9268
,1709,1024
,1710,1631
,1711,19196
,1712,6942
,1713,16044
,1714,23729
,1715,750
,1716,17904
,1717,2249
,1718,3786
,1719,642
,1720,10951
,1721,383
,1722,9374
,1723,8625
,1724,15392
,1725,10361
,1726,12314
,1727,2371
,1728,5157
,1729,1710
,1730,22500
,1731,3700
,1732,1899
,1733,16422
,1734,15468
,1735,8080
,1736,3872
,1737,4751
,1738,12203
,1739,9146
,1740,1592
,1741,18356
,1742,3570
,1743,11780
,1744,2238
,1745,52933
,1746,14910
,1747,17461
,1748,13977
,1749,41881
,1750,21214
,1751,4999
,1752,588
,1753,32371
,1754,4066
,1755,25330
,1756,982
,1757,7414
,1758,33053
,1759,2367
,1760,11113
,1761,1459
,1762,201
,1763,18155
,1764,10361
,1765,4769
,1766,16548
,1767,27780
,1768,8444
,1769,1340
,1770,2595
,1771,47406
,1772,103
,1773,33830
,1774,4413
,1775,17764
,1776,661
,1777,13893
,1778,2562
,1779,8965
,1780,35869
,1781,23692
,1782,19220
,1783,40144
,1784,3730
,1785,7865
,1786,2349
,1787,23675
,1788,4165
,1789,4658
,1790,30463
,1791,14798
,1792,13143
,1793,7778
,1794,33694
,1795,31254
,1796,3810
,1797,7864
,1798,14574
,1799,34419
,1800,57009
,1801,53373
,1802,17692
,1803,8320
,1804,10276
,1805,29048
,1806,37916
,1807,26105
,1808,17357
,1809,16828
,1810,25003
,1811,3951
,1812,3604
,1813,4388
,1814,21729
,1815,3603
,1816,9632
,1817,5115
,1818,13650
,1819,8382
,1820,3415
,1821,31047
,1822,55692
,1823,33517
,1824,22282
,1825,8242
,1826,4881
,1827,602
,1828,4596
,1829,5219
,1830,1960
,1831,6410
,1832,698
,1833,16386
,1834,1222
,1835,88
,1836,1236
,1837,248
,1838,3758
,1839,9267
,1840,58495
,1841,5526
,1842,2358
,1843,5683
,1844,3368
,1845,3866
,1846,2061
,1847,2779
,1848,1856
,1849,10932
,1850,2997
,1851,4273
,1852,18600
,1853,66570
,1854,14069
,1855,1564
,1856,518
,1857,1085
,1858,2358
,1859,2129
,1860,4369
,1861,2267
,1862,50781
,1863,1082
,1864,39719
,1865,5119
,1866,312
,1867,17986
,1868,51034
,1869,24533
,1870,1388
,1871,1680
,1872,12946
,1873,4515
,1874,674
,1875,1565
,1876,16246
,1877,39692
,1878,3356
,1879,3250
,1880,9530
,1881,60414
,1882,543
,1883,25956
,1884,3461
,1885,2804
,1886,43826
,1887,1402
,1888,598
,1889,2375
,1890,5085
,1891,8115
,1892,783
,1893,20062
,1894,3137
,1895,43339
,1896,28533
,1897,50463
,1898,1192
,1899,3025
,1900,2627
,1901,2239
,1902,376
,1903,7868
,1904,2527
,1905,2330
,1906,7935
,1907,2294
,1908,1377
,1909,1411
,1910,3981
,1911,1052
,1912,39318
,1913,26773
,1914,2196
,1915,923
,1916,5176
,1917,6015
,1918,16875
,1919,20808
,1920,463
,1921,6019
,1922,22272
,1923,15163
,1924,1530
,1925,1609
,1926,2714
,1927,134
,1928,2377
,1929,2390
,1930,20214
,1931,99323
,1932,13334
,1933,15061
,1934,2634
,1935,4470
,1936,3435
,1937,15542
,1938,6844
,1939,6498
,1940,7733
,1941,3333
,1942,20075
,1943,15495
,1944,5197
,1945,3035
,1946,14954
,1947,1397
,1948,20585
,1949,14468
,1950,2204
,1951,872
,1952,5762
,1953,3433
,1954,25047
,1955,4187
,1956,11126
,1957,52796
,1958,5607
,1959,24711
,1960,4053
,1961,11288
,1962,9566
,1963,28818
,1964,17090
,1965,5466
,1966,10579
,1967,10100
,1968,8252
,1969,10523
,1970,996
,1971,6055
,1972,29733
,1974,18575
,1975,4279
,1976,21864
,1977,1322
,1978,59506
,1979,1739
,1980,32710
,1981,20118
,1982,12533
,1983,300
,1984,21623
,1985,44155
,1986,326
,1987,18484
,1988,49023
,1989,21097
,1990,9257
,1991,10444
,1992,64311
,1993,36224
,1994,32625
,1995,58037
,1996,5234
,1997,62294
,1998,14089
,1999,70504
,2000,17627
,2001,35420
,2002,1728
,2003,272152
,2004,6935
,2005,27597
,2006,10870
,2007,7586
,2008,14169
,2009,15506
,2010,34093
,2011,14272
,2012,14653
,2013,23877
,2014,29831
,2015,86194
,2016,42875
,2017,37764
,2018,34571
,2019,8497
,2020,61496
,2021,5181
,2022,6571
,2023,12835
,2024,2331
,2025,5875
,2026,49787
,2027,50542
,2028,32033
,2029,7809
,2030,17976
,2031,5191
,2032,60774
,2033,10364
,2034,16925
,2035,48127
,2036,36193
,2037,41057
,2038,14566
,2039,10951
,2040,13385
,2041,2166
,2042,4364
,2043,4952
,2044,1416
,2045,9386
,2046,21551
,2047,7534
,2048,17007
,2049,9933
,2050,42163
,2051,3414
,2052,3352
,2053,4270
,2054,14607
,2055,11099
,2056,27769
,2057,25405
,2058,3935
,2059,3088
,2060,28869
,2061,4155
,2062,2741
,2063,2735
,2064,66478
,2065,32639
,2066,17531
,2067,18240
,2068,15411
,2069,10571
,2070,6711
,2071,1312
,2072,27842
,2073,10307
,2074,58283
,2075,2844
,2076,24471
,2077,1184
,2078,11295
,2079,5734
,2080,6994
,2081,5155
,2082,21541
,2083,9449
,2084,28732
,2085,2194
,2086,2769
,2087,9194
,2088,6614
,2089,856
,2090,8905
,2091,7018
,2092,761
,2093,2767
,2094,9153
,2095,502
,2096,15732
,2097,2301
,2098,8005
,2099,13073
,2100,3475
,2101,11861
,2102,566
,2103,10375
,2104,6569
,2105,12572
,2106,3073
,2107,152
,2108,22392
,2109,2239
,2110,33077
,2111,1482
,2112,2834
,2113,3490
,2114,424
,2115,19185
,2116,10711
,2117,6961
,2118,2657
,2119,14720
,2120,18607
,2121,2276
,2122,3798
,2123,1088
,2124,73079
,2125,14174
,2126,28150
,2127,30566
,2128,18435
,2129,31678
,2130,27023
,2131,4424
,2132,2121
,2133,2812
,2134,1152
,2135,5420
,2136,10126
,2137,8973
,2138,4511
,2139,1393
,2140,13327
,2141,1844
,2142,62711
,2143,14862
,2144,10639
,2145,41787
,2146,18682
,2147,18562
,2148,31933
,2149,6577
,2150,5693
,2151,3418
,2152,11412
,2153,3574
,2154,7716
,2155,40663
,2156,25940
,2157,4951
,2158,5122
,2159,4926
,2160,15050
,2161,24886
,2162,29671
,2163,6437
,2164,159954
,2165,4634
,2166,1718
,2167,120971
,2168,15064
,2169,145522
,2170,6690
,2171,27155
,2172,106389
,2173,29986
,2174,5797
,2175,16521
